UF;StateName;ObjectName;Capital;date;win1R>50%;win2R;%1RoundVote17;%2RoundVote17;birthsJan-May-21;birthsJan-May-19;DifnubirthJan-May-21/19;%VarNuBirthJan-May-21/19;AnnualBirthRate21*;AnnBirthRate19;Births2020;%varAnnualPopGrw21vs19;AnPopGrowthRate21*;AnPopGrowthRate20;AnnualPopGrw19;ExcessDeaths21Jan-Jul;ExcessDeaths20;ExcessMortalityRt21;P-score21vs15-19Jan-Jul;P-scoreJan21vs15to19;P-scoreFev21vs15to19;P-scoreMar21vs15to19;P-scoreAbr21vs15to19;P-scoreMay21vs15to20;P-scoreJun21vs15to19;P-scoreJul21vs15to19;Births2019;Births20202;Births2021;DeathsJan-21;DeathsFev-21;DeathsMar-21;DeathsAbr-21;DeathsMay-21;DeathsJun-21;DeathsJul-21;Deaths2021jantojul;Deaths15-19Jan-JulAvg;Deaths19jantojun;Deaths18Jan-May;Deaths17Jan-May;Deaths16Jan-May;Deaths15Jan-May;Deaths2015;Deaths2016;Deaths2017;Deaths2018;Deaths2019;Deaths2020;Deaths2021*;AvgJan15to19Deaths;AvgFev15to19Deaths;AvgMar15to19Deaths;AvgAbr15to19Deaths;Avg15to19MayDeaths;Avg15to19JunDeaths;Avg15to19JulDeaths;MortalityRate/19;MortalityRate/20;MortalityRate/21;MortRatejaneiro-21/100000;MortRatefev-21/100000;MortRateMar-21/100000;MortRateAbr-21/100000;MortalRatemaio-21/100000;MortalRateJun-21/100000;MortalRateJul-21/100000;CasesCOVID21Jan-Jul;CasesCOVID20/21;ExcessDeaths2020;ExcessDeaths21Jan-Jul;DeathsCOVID21Jan-Juk;COVIDvsExcessratio2020;DeathsCOVID20;ExcessDeathsCOVIDratio21;DeathsCOVID20/21;MORTALITYCOVID;FATALITYRATECOVID;pop/IBGE20;%pop>70a;pop>70a2019;DemgDens20/km2;canvoted18;%NotVoted18;voted18;17in1T;%1RoundVote17/2018;P-score21vs15-19;ExcessMortalityRate16;ExcessMortalityRate17;ExcessMortalityRate18;ExcessMortalityRate192;ExcessMortalityRate20;ExcessMortalityRate21*;IBGEpop2015;IBGEpop2016;IBGEpop2017;IBGEpop2018;IBGEpop2019;IBGEpop20;IBGEpop2021;%varAnnPopGrw21vs19;DeathsCOVID/100mil;%votes17;%excessdeaths21Jan-May;%COVIDDeaths;%BRApop;%COVIDCases;VAR%COVIDdeath%/BRApop%;unidpoparea;Aumentorisco21vs15to19;nDFdec
MG;Minas Gerais;state;Belo Horizonte;31-Jul;FALSE;TRUE;48,31%;58%;83995;90337;-6342;-7,02%;1,183435649;1,272790359;247040;-69,76%;0,210283672;0,468586043;0,609401831;48737;25695,2;460,245131;66,54%;49,99%;48,51%;94,02%;101,42%;58,90%;57,85%;41,26%;256770;247040;251178;15151;13475;19997;20616;17252;17317;16647;121979;73242;62432;59521;58968;57676;61161;118272;120570;122868;121597;127767;147846;209107;10101,4;9063,6;10281,2;10183,4;10857,4;10970,2;11784,8;593,965077;694,3517547;987,3444494;63,08160383;93,48824913;96,12680358;96,61889633;80,56261292;81,32847244;78,18184909;1423615;1966524;25631,2;48737;38559;46,90%;12020;26,40%;50461;160,5996299;0,024877031;21168791;7,50%;1586753;36,3;15698955;30,01%;10987714;5308047;48,31%;111,66%;10,94412875;10,88092087;-6,040684461;29,14668107;94,409508;552,2941572;20869101;20997560;21119536;21040662;21168791;21292666;21178714;-78,97%;159,6653045;10,80%;11,53%;8,35%;10,06%;9,41%;-1,71%;586513,993;0,66542421;1018,25346
MS;Mato Grosso do Sul;state;Campo Grande;31-Jul;TRUE;TRUE;55,06%;66%;14938;16432;-1494;-9,09%;1,595148278;1,754684462;42528;-44,74%;0,67744147;0,848187073;1,094967733;7631,6;4229,2;544,1270837;87,27%;60,32%;48,76%;95,62%;120,84%;88,74%;108,61%;71,79%;45762;42528;44718;1877;1595;2399;2733;2485;2797;2379;16376;8744,4;7387;7369;7121;6569;7775;13853;15179;14338;15056;15333;18957;28073;1170,8;1072,2;1224,8;1234,4;1316,6;1340,8;1384,8;548,1253252;674,7718547;1000,796514;56,39178822;84,71142607;96,3786926;96,62618007;83,19114589;99,55883724;84,6801837;221712;356462;4205,2;7632;6608;56,24%;2365;15,49%;8955;208,7092198;0,023290086;2778986;6,48%;260246;6,86;1877705;25,60%;1396945;769116;55,06%;117,58%;49,43360128;-30,99721467;26,12787448;9,967664465;129,3104832;652,9525005;2651235;2682386;2713147;2748023;2778986;2809394;2805080;-32,26%;206,4502167;1,56%;1,48%;1,42%;1,33%;1,71%;0,10%;357147,994;0,872741412;620,0486007
MT;Mato Grosso;state;Cuiabá;31-Jul;TRUE;TRUE;60,04%;65%;18294;19748;-1454;-7,36%;1,556397502;1,68009937;54156;-44,80%;0,718985202;0,971770136;1,14872695;7990;5444,4;452,63044;89,92%;60,42%;55,87%;142,67%;114,80%;82,98%;83,50%;53,93%;55954;54156;54522;1964;1792;3247;2949;2393;2206;2067;16876;8886;7713;8026;7355;6847;6915;14131;13670;14953;15597;15927;20295;28930;1221,8;1145,2;1331;1335,2;1307,8;1202,2;1342,8;411,1768409;575,545485;819,444803;50,25942026;90,94561762;80,75295088;83,03363045;57,94615513;62,55990834;58,61801022;309862;490313;5439,4;7990;8253;83,35%;4534;-3,19%;12773;282,0231278;0,027044357;3484466;4,47%;155655;3,36;2330024;29,87%;1634136;981119;60,04%;135,99%;-13,94632209;38,36098434;18,71006317;9,470604678;124,1499156;543,156528;3265486;3305531;3344544;3441998;3484466;3526220;3530474;-28,10%;278,6836896;2,00%;1,85%;2,41%;1,67%;2,50%;0,75%;903207,05;0,899167229;1568,067795
PA;Pará;state;Belém;31-Jul;FALSE;FALSE;36,19%;45%;37332;41635;-4303;-10,34%;1,288681235;1,437218558;109405;-21,87%;0,878210096;0,858353583;1,074339769;5784,4;8833;132,3196392;41,01%;30,45%;42,01%;100,44%;79,87%;13,45%;22,78%;6,54%;120771;109405;111954;2316;2292;3829;3498;2757;2750;2362;19890;14105,6;15105;14350;14182;12694;13386;25378;25659;26705;27556;28347;35562;34097;1775,4;1604,8;1904,8;1933,6;2430,2;2239,8;2217;325,1044646;409,1939184;389,9904605;25,99500768;43,54933713;39,67118768;39,89931412;31,01378933;31,64285686;27,17833742;278699;572501;8833;5784;8858;81,63%;7210;-34,70%;16057;153,2628956;0,027843536;8602865;3,85%;330925;6,07;5498941;24,66%;4142735;1499294;36,19%;54,32%;3,39670464;12,50204981;9,995892405;9,19461133;83,15365689;158,783567;8175113;8272724;8366628;8513497;8602865;8690745;8743071;-12,18%;151,7131155;3,05%;1,03%;3,24%;4,10%;3,26%;-0,87%;1245870,707;0,410078267;2162,969977
PB;Paraíba;state;João Pessoa;31-Jul;FALSE;FALSE;31,30%;35%;18438;20094;-1656;-8,24%;1,369403485;1,492395793;53582;-38,24%;0,518261065;0,592489984;0,82792306;7233,4;5848;359,0056396;50,23%;38,82%;27,66%;50,28%;58,95%;40,81%;62,96%;26,49%;57620;53582;55311;2658;2321;3231;3352;3128;3430;2720;21635;14401,6;12241;12011;11882;11740;13619;23162;24954;23854;23487;24353;29775;37089;1906,8;1815;2133,4;2069,8;2221,4;2104,8;2150,4;657,7414721;737,1368688;920,3836584;57,06599977;78,96141358;81,03027158;82,55728582;72,58243476;84,91618673;67,33878365;255564;422048;5813;7233;5315;63,38%;3684;36,09%;8987;169,6810479;0,023212821;4018127;7,00%;281444;66,7;2868028;24,49%;2165544;677718;31,30%;68,63%;44,80655296;-27,32540433;-9,183044347;21,55233023;134,1437045;430,8067676;3972202;3999415;4025558;3996496;4018127;4039277;4029686;-48,17%;168,7925834;1,38%;1,32%;1,67%;1,91%;2,02%;-0,23%;56467,242;0,502263637;98,03340625
PE;Pernambuco;state;Recife;31-Jul;FALSE;FALSE;30,57%;34%;41123;46176;-5053;-10,94%;1,282872643;1,440505974;123469;-43,28%;0,467315911;0,530231858;0,811053931;15637,4;19016,8;325,961977;47,65%;30,25%;22,65%;48,29%;56,07%;71,34%;59,33%;28,88%;133458;123469;123369;6025;5380;7313;7444;8027;7330;6231;48458;32820,6;27573;26485;26624;25985;31181;52458;54252;53505;52731;55945;72792;83071;4625,8;4384,8;4930,2;4760;4684,8;4600,4;4834,6;621,6424667;756,9394697;865,807002;55,66388289;75,67100182;76,89233655;77,04759096;82,59534872;76,22219904;64,79406852;368619;590785;19013,8;15637;9130;50,89%;9676;71,27%;18784;147,6220236;0,034516333;9557517;6,13%;585750;89,62;6569262;28,07%;4725216;1444685;30,57%;68,81%;19,06414394;-7,885348094;-8,150547993;33,62798099;175,3399234;391,1543724;9345173;9410336;9473266;9496294;9557071;9616621;9594616;-53,27%;146,7147348;2,94%;3,05%;3,46%;4,54%;2,81%;-1,08%;98067,88;0,476450766;170,2567361
PI;Piauí;state;Teresina;31-Jul;FALSE;FALSE;18,76%;23%;11397;15071;-3674;-24,38%;1,041938394;1,377823421;34456;-42,76%;0,52576886;0,58240821;0,784882931;1706,6;-43;103,8782386;20,66%;25,34%;15,42%;29,33%;65,35%;-5,37%;9,16%;-8,46%;41957;34456;34191;1281;1118;1368;1891;1350;1435;1222;9967;8260,4;8412;8239;8229;7969;7774;14998;14874;15404;15658;16266;15397;17086;1022;967,8;1056,2;1138,2;1426,6;1314,6;1335;461,5905018;469,2090154;520,0085738;33,86148561;41,40983826;57,05220762;57,32503964;40,13662215;43,73026805;37,23929446;166679;309858;-43;1707;3997;-6611,63%;2843;-57,30%;6837;157,282914;0,021239106;3272447;5,93%;194055;12,4;2370421;22,00%;1848943;346944;18,76%;27,33%;-3,860306708;16,46342619;7,780596968;18,57936889;-26,40128865;124,6538863;3204028;3212180;3219257;3264531;3273227;3281480;3285770;-47,42%;156,8499579;0,71%;0,17%;1,26%;1,55%;1,67%;-0,29%;251755,485;0,206600165;437,0754948
PR;Paraná;state;Curitiba;31-Jul;TRUE;TRUE;56,89%;68%;49687;54938;-5251;-9,56%;1,294287322;1,431069634;147954;-61,93%;0,325636199;0,597229813;0,779388973;29979;12282;523,4151868;74,44%;41,71%;46,76%;115,15%;87,29%;79,12%;84,18%;45,71%;158678;147954;149049;7696;7245;12414;10531;10636;11702;9645;70250;40271;33645;33330;32257;31267;34496;64623;68546;65915;68663;69563;79667;120429;5340,6;4844,6;5663,4;5511,8;5937,8;6353,6;6619,2;582,0346553;691,7435685;1051,304967;61,53530322;105,4581814;89,34302885;91,14321775;91,47209841;101,6077327;83,74693058;962435;1379001;12205;29979;27259;66,05%;8062;9,98%;35233;197,3507509;0,023705669;11433957;6,92%;790753;52,4;7972308;22,91%;6145689;3496448;56,89%;111,08%;34,89369121;-23,24021817;24,21372151;7,871290753;87,84372858;628,0982241;11163018;11242720;11320892;11348937;11433957;11516840;11455151;-67,44%;195,9304809;7,11%;6,21%;5,54%;5,44%;6,55%;0,10%;199298,982;0,744431477;346,0051771
RJ;Rio de Janeiro;state;Rio de Janeiro;31-Jul;TRUE;TRUE;59,79%;68%;64104;74181;-10077;-13,58%;1,107393223;1,281472867;195144;-99,74%;0,001261071;0,129279315;0,475686482;43758;48447,8;508,3646419;61,91%;65,51%;48,50%;78,16%;99,02%;55,07%;37,97%;31,50%;211629;195144;192303;15783;12676;16950;19435;17626;15318;14865;114433;70675;65241;62719;60490;60718;64534;119388;125799;122072;125540;129502;172824;196171;9520,8;8493,2;9251,4;9636,6;11366,2;11102,6;11304,2;822,6157161;995,1751648;1139,521088;72,62296268;94,90736369;110,4373455;111,9114557;101,2874971;88,20588098;85,59736394;597191;1031839;48363,8;43758;33739;53,26%;25757;29,70%;59269;259,7575909;0,060160492;17264943;8,00%;1381579;365,23;12406805;31,14%;8543393;5107735;59,79%;87,89%;38,53691718;-22,29206178;20,20983732;22,94823678;249,4617558;610,0375703;16550024;16635996;16718956;17159960;17264943;17366189;17215202;-99,87%;258,2431874;10,39%;9,00%;11,01%;8,20%;5,13%;2,81%;43750,426;0,619143969;75,95560069
RN;Rio Grande do Norte;state;Natal;31-Jul;FALSE;FALSE;30,21%;37%;13546;14817;-1271;-8,58%;1,149861424;1,257751124;40095;-40,33%;0,459316416;0,58320095;0,710494566;4299;2364;243,4108777;43,56%;31,44%;34,61%;68,67%;66,60%;31,05%;49,04%;14,72%;43279;40095;40638;1671;1579;2500;2414;2133;2119;1679;14168;9869;9323;8865;8740;8406;9499;16354;17466;17001;17266;18363;19643;24288;1265,2;1168,6;1478,6;1443,6;1627,6;1421,8;1463,6;52363,18717;555,8031388;687,5975109;44,30489201;70,2456457;67,73888449;67,99237719;59,54262029;59,95758546;47,50768569;240777;359776;2353;4299;4090;127,79%;3007;5,11%;7097;157,0068663;0,244841693;3506853;6,52%;228714;59,99;2373957;24,50%;1792253;541448;30,21%;60,35%;32,00001842;-13,25918455;7,617109465;31,28160775;36,28832777;292,0930533;3442175;3474998;3507003;3479010;3506853;3534165;3532299;-54,07%;155,7935184;1,10%;0,82%;1,35%;1,67%;0,15%;-0,32%;52809,601;0,435606444;91,68333507
